,filename,real_stars,simulated_stars
192,./images/procSp2049+3336-S001-R001-C417-I+z.fits,2273,1858
193,./images/procSPECU4.2021-07-09T06:17:33.720.fits,109,63
194,./images/procSPECU1.2025-03-08T00:54:17.260.fits,153,121
195,./images/procSPECU2.2023-07-30T07:45:27.390.fits,168,124
196,./images/procSPECU1.2020-01-28T08:00:17.680.fits,642,490
197,./images/procSPECU2.2021-06-12T07:41:53.850.fits,779,500
198,./images/procSPECU2.2021-02-14T02:38:38.640.fits,422,340
199,./images/procSPECU1.2023-02-12T03:00:29.490.fits,206,124
200,./images/procSPECU4.2024-01-14T02:40:36.000.fits,205,138
201,./images/procSPECU3.2025-06-07T01:43:20.000.fits,1165,888
202,./images/procSPECU4.2023-09-24T01:54:01.100.fits,133,96
203,./images/procTOI-5694.01-S001-R001-C180-I+z.fits,137,85
204,./images/procSPECU3.2024-10-04T03:40:37.710.fits,105,81
205,./images/procSPECU1.2020-03-13T07:24:18.850.fits,912,867
206,./images/procTOI-5598.01-S001-R001-C146-I+z.fits,178,133
207,./images/procSPECU3.2023-10-14T01:28:13.730.fits,302,225
208,./images/procSPECU3.2021-11-18T02:06:56.900.fits,77,54
209,./images/procSp1500-0039-S001-R001-C307-I+z.fits,138,102
210,./images/procSp0025+5422-S001-R001-C353-I+z.fits,832,659
211,./images/procSPECU2.2025-01-10T03:35:19.100.fits,282,226
212,./images/procSPECU3.2021-07-19T09:27:51.690.fits,166,126
213,./images/procSPECU1.2022-09-06T07:24:40.600.fits,162,122
214,./images/procSPECU3.2024-11-02T02:02:49.630.fits,65,53
215,./images/procSPECU4.2023-07-28T01:50:49.120.fits,2848,1827
216,./images/procSPECU2.2024-12-10T06:32:38.840.fits,627,1390
217,./images/procSPECU1.2025-05-04T02:37:54.850.fits,81,64
218,./images/procSPECU3.2025-06-18T01:46:27.000.fits,1131,860
219,./images/procSPECU1.2025-02-03T02:28:33.690.fits,228,190
220,./images/procSPECU2.2025-09-09T07:31:37.290.fits,59,46
221,./images/procSp2019-5816-S001-R001-C329-I+z.fits,145,161
222,./images/procSPECU1.2018-09-13T00:40:53.350.fits,2362,1574
223,./images/procTOI-5278-S001-R001-C107-I+z.fits,398,383
224,./images/procSPECU3.2025-02-13T01:52:07.940.fits,672,547
225,./images/procSPECU3.2021-02-10T06:28:52.540.fits,108,86
226,./images/procSPECU1.2021-02-08T05:16:04.110.fits,942,738
227,./images/procSPECU2.2025-04-03T02:22:06.820.fits,43,37
228,./images/procSPECU1.2020-10-05T01:45:40.410.fits,239,147
229,./images/procSPECU4.2024-11-10T02:07:00.000.fits,52,39
230,./images/procSPECU4.2020-10-28T02:04:48.170.fits,172,128
231,./images/procSPECU3.2023-06-23T07:45:27.220.fits,335,239
232,./images/procSp0124-3355-S001-R001-C217-I+z.fits,42,38
